Year,Type,WinOrLose,Key,Item
1929,"ACTOR",True,"EMIL JANNINGS","The Last Command"
1929,"ACTOR",True,"EMIL JANNINGS","The Way of All Flesh"
1929,"ACTOR",False,"RICHARD BARTHELMESS","The Noose"
1929,"ACTOR",False,"RICHARD BARTHELMESS","The Patent Leather Kid"
1929,"ACTRESS",True,"JANET GAYNOR","7th Heaven"
1929,"ACTRESS",True,"JANET GAYNOR","Street Angel"
1929,"ACTRESS",True,"JANET GAYNOR","Sunrise"
1929,"ACTRESS",False,"LOUISE DRESSER","A Ship Comes In"
1929,"ACTRESS",False,"GLORIA SWANSON","Sadie Thompson"
1929,"ART DIRECTION",True,"THE DOVE","William Cameron Menzies"
1929,"ART DIRECTION",True,"TEMPEST","William Cameron Menzies"
1929,"ART DIRECTION",False,"SUNRISE","Rochus Gliese"
1929,"ART DIRECTION",False,"7TH HEAVEN","Harry Oliver"
1929,"CINEMATOGRAPHY",True,"SUNRISE","Charles Rosher"
1929,"CINEMATOGRAPHY",True,"SUNRISE","Karl Struss"
1929,"CINEMATOGRAPHY",False,"THE DEVIL DANCER","George Barnes"
1929,"CINEMATOGRAPHY",False,"THE MAGIC FLAME","George Barnes"
1929,"CINEMATOGRAPHY",False,"SADIE THOMPSON","George Barnes"
1929,"DIRECTING (COMEDY PICTURE)",True,"TWO ARABIAN KNIGHTS","Lewis Milestone"
1929,"DIRECTING (COMEDY PICTURE)",False,"SPEEDY","Ted Wilde"
1929,"DIRECTING (DRAMATIC PICTURE)",True,"7TH HEAVEN","Frank Borzage"
1929,"DIRECTING (DRAMATIC PICTURE)",False,"SORRELL AND SON","Herbert Brenon"
1929,"DIRECTING (DRAMATIC PICTURE)",False,"THE CROWD","King Vidor"
1929,"ENGINEERING EFFECTS",True,"WINGS","Roy Pomeroy"
1929,"ENGINEERING EFFECTS",False,"","Ralph Hammeras"
1929,"ENGINEERING EFFECTS",False,"","Nugent Slaughter"
1929,"OUTSTANDING PICTURE",True,"WINGS","Paramount Famous Lasky"
1929,"OUTSTANDING PICTURE",False,"THE RACKET","The Caddo Company"
1929,"OUTSTANDING PICTURE",False,"7TH HEAVEN","Fox"
1929,"UNIQUE AND ARTISTIC PICTURE",True,"SUNRISE","Fox"
1929,"UNIQUE AND ARTISTIC PICTURE",False,"THE CROWD","Metro-Goldwyn-Mayer"
1929,"UNIQUE AND ARTISTIC PICTURE",False,"CHANG","Paramount Famous Lasky"
1929,"WRITING (ADAPTATION)",True,"7TH HEAVEN","Benjamin Glazer"
1929,"WRITING (ADAPTATION)",False,"THE JAZZ SINGER","Alfred Cohn"
1929,"WRITING (ADAPTATION)",False,"GLORIOUS BETSY","Anthony Coldeway"
1929,"WRITING (ORIGINAL STORY)",True,"UNDERWORLD","Ben Hecht"
1929,"WRITING (ORIGINAL STORY)",False,"THE LAST COMMAND","Lajos Biro"
1929,"WRITING (TITLE WRITING)",True,"","Joseph Farnham"
1929,"WRITING (TITLE WRITING)",False,"THE PRIVATE LIFE OF HELEN OF TROY","Gerald Duffy"
1929,"WRITING (TITLE WRITING)",False,"","George Marion, Jr."
1930,"ACTOR",True,"WARNER BAXTER","In Old Arizona"
1930,"ACTOR",False,"GEORGE BANCROFT","Thunderbolt"
1930,"ACTOR",False,"CHESTER MORRIS","Alibi"
1930,"ACTOR",False,"PAUL MUNI","The Valiant"
1930,"ACTOR",False,"LEWIS STONE","The Patriot"
1930,"ACTRESS",True,"MARY PICKFORD","Coquette"
1930,"ACTRESS",False,"RUTH CHATTERTON","Madame X"
1930,"ACTRESS",False,"BETTY COMPSON","The Barker"
1930,"ACTRESS",False,"JEANNE EAGELS","The Letter"
1930,"ACTRESS",False,"CORINNE GRIFFITH","The Divine Lady"
1930,"ACTRESS",False,"BESSIE LOVE","The Broadway Melody"
1930,"ART DIRECTION",True,"THE BRIDGE OF SAN LUIS REY","Cedric Gibbons"
1930,"ART DIRECTION",False,"THE PATRIOT","Hans Dreier"
1930,"ART DIRECTION",False,"DYNAMITE","Mitchell Leisen"
1930,"ART DIRECTION",False,"ALIBI","William Cameron Menzies"
1930,"ART DIRECTION",False,"THE AWAKENING","William Cameron Menzies"
1930,"ART DIRECTION",False,"STREET ANGEL","Harry Oliver"
1930,"CINEMATOGRAPHY",True,"WHITE SHADOWS IN THE SOUTH SEAS","Clyde De Vinna"
1930,"CINEMATOGRAPHY",False,"OUR DANCING DAUGHTERS","George Barnes"
1930,"CINEMATOGRAPHY",False,"IN OLD ARIZONA","Arthur Edeson"
1930,"CINEMATOGRAPHY",False,"FOUR DEVILS","Ernest Palmer"
1930,"CINEMATOGRAPHY",False,"STREET ANGEL","Ernest Palmer"
1930,"CINEMATOGRAPHY",False,"THE DIVINE LADY","John Seitz"
1930,"DIRECTING",True,"THE DIVINE LADY","Frank Lloyd"
1930,"DIRECTING",False,"MADAME X","Lionel Barrymore"
1930,"DIRECTING",False,"THE BROADWAY MELODY","Harry Beaumont"
1930,"DIRECTING",False,"IN OLD ARIZONA","Irving Cummings"
1930,"DIRECTING",False,"DRAG","Frank Lloyd"
1930,"DIRECTING",False,"WEARY RIVER","Frank Lloyd"
1930,"DIRECTING",False,"THE PATRIOT","Ernst Lubitsch"
1930,"OUTSTANDING PICTURE",True,"THE BROADWAY MELODY","Metro-Goldwyn-Mayer"
1930,"OUTSTANDING PICTURE",False,"ALIBI","Feature Productions"
1930,"OUTSTANDING PICTURE",False,"IN OLD ARIZONA","Fox"
1930,"OUTSTANDING PICTURE",False,"HOLLYWOOD REVUE","Metro-Goldwyn-Mayer"
1930,"OUTSTANDING PICTURE",False,"THE PATRIOT","Paramount Famous Lasky"
1930,"WRITING",True,"THE PATRIOT","Hans Kraly"
1930,"WRITING",False,"THE VALIANT","Tom Barry"
1930,"WRITING",False,"IN OLD ARIZONA","Tom Barry"
1930,"WRITING",False,"THE LEATHERNECK","Elliott Clawson"
1930,"WRITING",False,"SAL OF SINGAPORE","Elliott Clawson"
1930,"WRITING",False,"SKYSCRAPER","Elliott Clawson"
1930,"WRITING",False,"THE COP","Elliott Clawson"
1930,"WRITING",False,"THE LAST OF MRS. CHEYNEY","Hans Kraly"
1930,"WRITING",False,"OUR DANCING DAUGHTERS","Josephine Lovett"
1930,"WRITING",False,"WONDER OF WOMEN","Bess Meredyth"
1930,"WRITING",False,"A WOMAN OF AFFAIRS","Bess Meredyth"
1931,"ACTOR",True,"GEORGE ARLISS","Disraeli"
1931,"ACTOR",False,"GEORGE ARLISS","The Green Goddess"
1931,"ACTOR",False,"WALLACE BEERY","The Big House"
1931,"ACTOR",False,"MAURICE CHEVALIER","The Big Pond"
1931,"ACTOR",False,"MAURICE CHEVALIER","The Love Parade"
1931,"ACTOR",False,"RONALD COLMAN","Bulldog Drummond"
1931,"ACTOR",False,"RONALD COLMAN","Condemned"
1931,"ACTOR",False,"LAWRENCE TIBBETT","The Rogue Song"
1931,"ACTRESS",True,"NORMA SHEARER","The Divorcee"
1931,"ACTRESS",False,"NANCY CARROLL","The Devil's Holiday"
1931,"ACTRESS",False,"RUTH CHATTERTON","Sarah and Son"
1931,"ACTRESS",False,"GRETA GARBO","Anna Christie"
1931,"ACTRESS",False,"GRETA GARBO","Romance"
1931,"ACTRESS",False,"NORMA SHEARER","Their Own Desire"
1931,"ACTRESS",False,"GLORIA SWANSON","The Trespasser"
1931,"ART DIRECTION",True,"KING OF JAZZ","Herman Rosse"
1931,"ART DIRECTION",False,"BULLDOG DRUMMOND","(William Cameron Menzies)"
1931,"ART DIRECTION",False,"THE LOVE PARADE","(Hans Dreier)"
1931,"ART DIRECTION",False,"SALLY","(Jack Okey)"
1931,"ART DIRECTION",False,"THE VAGABOND KING","(Hans Dreier)"
1931,"CINEMATOGRAPHY",True,"WITH BYRD AT THE SOUTH POLE","Joseph T. Rucker, Willard Van Der Veer"
1931,"CINEMATOGRAPHY",False,"ALL QUIET ON THE WESTERN FRONT","(Arthur Edeson)"
