Year,WinOrLose,Type,Key,Item
1929,Winner,"Actor","Emil Jannings","The Last Command"
1929,Winner,"Actor","Emil Jannings","The Way of All Flesh"
1929,Nominees,"Actor","Richard Barthelmess","The Noose"
1929,Nominees,"Actor","Richard Barthelmess","The Patent Leather Kid"
1929,Winner,"Actress","Janet Gaynor","7th Heaven"
1929,Winner,"Actress","Janet Gaynor","Street Angel"
1929,Winner,"Actress","Janet Gaynor","Sunrise"
1929,Nominees,"Actress","Louise Dresser","A Ship Comes In"
1929,Nominees,"Actress","Gloria Swanson","Sadie Thompson"
1929,Winner,"Art Direction","The Dove","William Cameron Menzies"
1929,Winner,"Art Direction","Tempest","William Cameron Menzies"
1929,Nominees,"Art Direction","Sunrise","Rochus Gliese"
1929,Nominees,"Art Direction","7Th Heaven","Harry Oliver"
1929,Winner,"Cinematography","Sunrise","Charles Rosher"
1929,Winner,"Cinematography","Sunrise","Karl Struss"
1929,Nominees,"Cinematography","The Devil Dancer","George Barnes"
1929,Nominees,"Cinematography","The Magic Flame","George Barnes"
1929,Nominees,"Cinematography","Sadie Thompson","George Barnes"
1929,Winner,"Directing (Comedy Picture)","Two Arabian Knights","Lewis Milestone"
1929,Nominees,"Directing (Comedy Picture)","Speedy","Ted Wilde"
1929,Winner,"Directing (Dramatic Picture)","7Th Heaven","Frank Borzage"
1929,Nominees,"Directing (Dramatic Picture)","Sorrell And Son","Herbert Brenon"
1929,Nominees,"Directing (Dramatic Picture)","The Crowd","King Vidor"
1929,Winner,"Engineering Effects","Wings","Roy Pomeroy"
1929,Nominees,"Engineering Effects","","Ralph Hammeras"
1929,Nominees,"Engineering Effects","","Nugent Slaughter"
1929,Winner,"Outstanding Picture","Wings","Paramount Famous Lasky"
1929,Nominees,"Outstanding Picture","The Racket","The Caddo Company"
1929,Nominees,"Outstanding Picture","7Th Heaven","Fox"
1929,Winner,"Special Award","The Circus","Special Award"
1929,Winner,"Special Award","The Jazz Singer","Special Award"
1929,Winner,"Unique And Artistic Picture","Sunrise","Fox"
1929,Nominees,"Unique And Artistic Picture","The Crowd","Metro-Goldwyn-Mayer"
1929,Nominees,"Unique And Artistic Picture","Chang","Paramount Famous Lasky"
1929,Winner,"Writing (Adaptation)","7Th Heaven","Benjamin Glazer"
1929,Nominees,"Writing (Adaptation)","The Jazz Singer","Alfred Cohn"
1929,Nominees,"Writing (Adaptation)","Glorious Betsy","Anthony Coldeway"
1929,Winner,"Writing (Original Story)","Underworld","Ben Hecht"
1929,Nominees,"Writing (Original Story)","The Last Command","Lajos Biro"
1929,Winner,"Writing (Title Writing)","","Joseph Farnham"
1929,Nominees,"Writing (Title Writing)","The Private Life Of Helen Of Troy","Gerald Duffy"
1929,Nominees,"Writing (Title Writing)","","George Marion, Jr."
1930,Winner,"Actor","Warner Baxter","In Old Arizona"
1930,Nominees,"Actor","George Bancroft","Thunderbolt"
1930,Nominees,"Actor","Chester Morris","Alibi"
1930,Nominees,"Actor","Paul Muni","The Valiant"
1930,Nominees,"Actor","Lewis Stone","The Patriot"
1930,Winner,"Actress","Mary Pickford","Coquette"
1930,Nominees,"Actress","Ruth Chatterton","Madame X"
1930,Nominees,"Actress","Betty Compson","The Barker"
1930,Nominees,"Actress","Jeanne Eagels","The Letter"
1930,Nominees,"Actress","Corinne Griffith","The Divine Lady"
1930,Nominees,"Actress","Bessie Love","The Broadway Melody"
1930,Winner,"Art Direction","The Bridge Of San Luis Rey","Cedric Gibbons"
1930,Nominees,"Art Direction","The Patriot","Hans Dreier"
1930,Nominees,"Art Direction","Dynamite","Mitchell Leisen"
1930,Nominees,"Art Direction","Alibi","William Cameron Menzies"
