Year,Category,Winner,Key,Subkey
90,"BEST PICTURE",False,"Call Me by Your Name","– Peter Spears, Luca Guadagnino, Emilie Georges, Marco Morabito"
90,"BEST PICTURE",False,"Darkest Hour","– Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, Douglas Urbanski"
90,"BEST PICTURE",False,"Dunkirk","– Emma Thomas, Christopher Nolan"
90,"BEST PICTURE",False,"Get Out","– Sean McKittrick, Jason Blum, Edward H. Hamm Jr., Jordan Peele"
90,"BEST PICTURE",False,"Lady Bird","– Scott Rudin, Eli Bush, Evelyn O’Neill"
90,"BEST PICTURE",False,"Phantom Thread","– JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, Daniel Lupi"
90,"BEST PICTURE",False,"The Post","– Amy Pascal, Steven Spielberg, Kristie Macosko Krieger"
90,"BEST PICTURE",True,"The Shape of Water","– Guillermo del Toro, J. Miles Dale"
90,"BEST PICTURE",False,"Three Billboards Outside Ebbing, Missouri","– Graham Broadbent, Pete Czernin, Martin McDonagh"
90,"ANIMATED FEATURE FILM",False,"The Boss Baby","– Tom McGrath, Ramsey Naito"
90,"ANIMATED FEATURE FILM",False,"The Breadwinner","– Nora Twomey, Anthony Leo"
90,"ANIMATED FEATURE FILM",True,"Coco","– Lee Unkrich, Darla K. Anderson"
90,"ANIMATED FEATURE FILM",False,"Ferdinand","– Carlos Saldanha"
90,"ANIMATED FEATURE FILM",False,"Loving Vincent","– Dorota Kobiela, Hugh Welchman, Ivan Mactaggart"
90,"DIRECTING",False,"Dunkirk","– Christopher Nolan"
90,"DIRECTING",False,"Get Out","– Jordan Peele"
90,"DIRECTING",False,"Lady Bird","– Greta Gerwig"
90,"DIRECTING",False,"Phantom Thread","– Paul Thomas Anderson"
90,"DIRECTING",True,"The Shape of Water","– Guillermo del Toro"
90,"ACTOR IN A LEADING ROLE",False,"Call Me by Your Name","Timothée Chalamet –"
90,"ACTOR IN A LEADING ROLE",False,"Phantom Thread","Daniel Day-Lewis –"
90,"ACTOR IN A LEADING ROLE",False,"Get Out","Daniel Kaluuya –"
90,"ACTOR IN A LEADING ROLE",True,"Darkest Hour","Gary Oldman –"
90,"ACTOR IN A LEADING ROLE",False,"Roman J. Israel, Esq.","Denzel Washington –"
90,"ACTRESS IN A LEADING ROLE",False,"The Shape of Water","Sally Hawkins –"
90,"ACTRESS IN A LEADING ROLE",True,"Three Billboards Outside Ebbing, Missouri","Frances McDormand –"
90,"ACTRESS IN A LEADING ROLE",False,"I, Tonya","Margot Robbie –"
90,"ACTRESS IN A LEADING ROLE",False,"Lady Bird","Saoirse Ronan –"
90,"ACTRESS IN A LEADING ROLE",False,"The Post","Meryl Streep –"
90,"ACTOR IN A SUPPORTING ROLE",False,"The Florida Project","Willem Dafoe –"
90,"ACTOR IN A SUPPORTING ROLE",False,"Three Billboards Outside Ebbing, Missouri","Woody Harrelson –"
90,"ACTOR IN A SUPPORTING ROLE",False,"The Shape of Water","Richard Jenkins –"
90,"ACTOR IN A SUPPORTING ROLE",False,"All the Money in the World","Christopher Plummer –"
90,"ACTOR IN A SUPPORTING ROLE",True,"Three Billboards Outside Ebbing, Missouri","Sam Rockwell –"
90,"ACTRESS IN A SUPPORTING ROLE",False,"Mudbound","Mary J. Blige –"
90,"ACTRESS IN A SUPPORTING ROLE",True,"I, Tonya","Allison Janney –"
90,"ACTRESS IN A SUPPORTING ROLE",False,"Phantom Thread","Lesley Manville –"
90,"ACTRESS IN A SUPPORTING ROLE",False,"Lady Bird","Laurie Metcalf –"
90,"ACTRESS IN A SUPPORTING ROLE",False,"The Shape of Water","Octavia Spencer –"
90,"WRITING (Adapted Screenplay)",True,"Call Me by Your Name","– James Ivory"
90,"WRITING (Adapted Screenplay)",False,"The Disaster Artist","– Scott Neustadter, Michael H. Weber"
90,"WRITING (Adapted Screenplay)",False,"Logan","– Scott Frank, James Mangold, Michael Green"
90,"WRITING (Adapted Screenplay)",False,"Molly’s Game","– Aaron Sorkin"
90,"WRITING (Adapted Screenplay)",False,"Mudbound","– Virgil Williams, Dee Rees"
90,"WRITING (Original Screenplay)",False,"The Big Sick","– Emily V. Gordon, Kumail Nanjiani"
90,"WRITING (Original Screenplay)",True,"Get Out","– Jordan Peele"
90,"WRITING (Original Screenplay)",False,"Lady Bird","– Greta Gerwig"
90,"WRITING (Original Screenplay)",False,"The Shape of Water","– Guillermo del Toro, Vanessa Taylor"
90,"WRITING (Original Screenplay)",False,"Three Billboards Outside Ebbing, Missouri","– Martin McDonagh"
90,"MUSIC (Original Song)",False,"Mudbound","Mighty River –,– Music and Lyric by Mary J. Blige, Raphael Saadiq, Taura Stinson"
90,"MUSIC (Original Song)",False,"Call Me by Your Name","Mystery Of Love –,– Music and Lyric by Sufjan Stevens"
90,"MUSIC (Original Song)",True,"Coco","Remember Me –,– Music and Lyric by Kristen Anderson-Lopez, Robert Lopez"
90,"MUSIC (Original Song)",False,"Marshall","Stand Up For Something –,– Music by Diane Warren; Lyric by Lonnie R. Lynn, Diane Warren"
90,"MUSIC (Original Song)",False,"The Greatest Showman","This Is Me –,– Music and Lyric by Benj Pasek, Justin Paul"
90,"MUSIC (Original Score)",False,"Dunkirk","– Hans Zimmer"
90,"MUSIC (Original Score)",False,"Phantom Thread","– Jonny Greenwood"
90,"MUSIC (Original Score)",True,"The Shape of Water","– Alexandre Desplat"
90,"MUSIC (Original Score)",False,"Star Wars: The Last Jedi","– John Williams"
90,"MUSIC (Original Score)",False,"Three Billboards Outside Ebbing, Missouri","– Carter Burwell"
90,"FILM EDITING",False,"Baby Driver","– Paul Machliss, Jonathan Amos"
90,"FILM EDITING",True,"Dunkirk","– Lee Smith"
90,"FILM EDITING",False,"I, Tonya","– Tatiana S. Riegel"
90,"FILM EDITING",False,"The Shape of Water","– Sidney Wolinsky"
90,"FILM EDITING",False,"Three Billboards Outside Ebbing, Missouri","– Jon Gregory"
90,"CINEMATOGRAPHY",True,"Blade Runner 2049","– Roger A. Deakins"
90,"CINEMATOGRAPHY",False,"Darkest Hour","– Bruno Delbonnel"
90,"CINEMATOGRAPHY",False,"Dunkirk","– Hoyte van Hoytema"
90,"CINEMATOGRAPHY",False,"Mudbound","– Rachel Morrison"
90,"CINEMATOGRAPHY",False,"The Shape of Water","– Dan Laustsen"
90,"PRODUCTION DESIGN",False,"Beauty and the Beast","– Production Design: Sarah Greenwood; Set Decoration: Katie Spencer"
90,"PRODUCTION DESIGN",False,"Blade Runner 2049","– Production Design: Dennis Gassner; Set Decoration: Alessandra Querzola"
90,"PRODUCTION DESIGN",False,"Darkest Hour","– Production Design: Sarah Greenwood; Set Decoration: Katie Spencer"
90,"PRODUCTION DESIGN",False,"Dunkirk","– Production Design: Nathan Crowley; Set Decoration: Gary Fettis"
90,"PRODUCTION DESIGN",True,"The Shape of Water","– Production Design: Paul Denham Austerberry; Set Decoration: Shane Vieau, Jeff Melvin"
90,"COSTUME DESIGN",False,"Beauty and the Beast","– Jacqueline Durran"
90,"COSTUME DESIGN",False,"Darkest Hour","– Jacqueline Durran"
90,"COSTUME DESIGN",True,"Phantom Thread","– Mark Bridges"
90,"COSTUME DESIGN",False,"The Shape of Water","– Luis Sequeira"
90,"COSTUME DESIGN",False,"Victoria &amp; Abdul","– Consolata Boyle"
90,"MAKEUP AND HAIRSTYLING",True,"Darkest Hour","– Kazuhiro Tsuji, David Malinowski, Lucy Sibbick"
90,"MAKEUP AND HAIRSTYLING",False,"Victoria &amp; Abdul","– Daniel Phillips, Lou Sheppard"
90,"MAKEUP AND HAIRSTYLING",False,"Wonder","– Arjen Tuiten"
90,"SOUND MIXING",False,"Baby Driver","– Julian Slater, Tim Cavagin, Mary H. Ellis"
90,"SOUND MIXING",False,"Blade Runner 2049","– Ron Bartlett, Doug Hemphill, Mac Ruth"
90,"SOUND MIXING",True,"Dunkirk","– Mark Weingarten, Gregg Landaker, Gary A. Rizzo"
90,"SOUND MIXING",False,"The Shape of Water","– Christian Cooke, Brad Zoern, Glen Gauthier"
90,"SOUND MIXING",False,"Star Wars: The Last Jedi","– David Parker, Michael Semanick, Ren Klyce, Stuart Wilson"
90,"SOUND EDITING",False,"Baby Driver","– Julian Slater"
90,"SOUND EDITING",False,"Blade Runner 2049","– Mark Mangini, Theo Green"
90,"SOUND EDITING",True,"Dunkirk","– Richard King, Alex Gibson"
90,"SOUND EDITING",False,"The Shape of Water","– Nathan Robitaille, Nelson Ferreira"
90,"SOUND EDITING",False,"Star Wars: The Last Jedi","– Matthew Wood, Ren Klyce"
90,"VISUAL EFFECTS",True,"Blade Runner 2049","– John Nelson, Gerd Nefzer, Paul Lambert, Richard R. Hoover"
90,"VISUAL EFFECTS",False,"Guardians of the Galaxy, Vol. 2","– Christopher Townsend, Guy Williams, Jonathan Fawkner, Dan Sudick"
90,"VISUAL EFFECTS",False,"Kong: Skull Island","– Stephen Rosenbaum, Jeff White, Scott Benza, Mike Meinardus"
90,"VISUAL EFFECTS",False,"Star Wars: The Last Jedi","– Ben Morris, Mike Mulholland, Neal Scanlan, Chris Corbould"
90,"VISUAL EFFECTS",False,"War for the Planet of the Apes","– Joe Letteri, Daniel Barrett, Dan Lemmon, Joel Whist"
90,"FOREIGN LANGUAGE FILM",True,"A Fantastic Woman","– Chile"
90,"FOREIGN LANGUAGE FILM",False,"The Insult","– Lebanon"
90,"FOREIGN LANGUAGE FILM",False,"Loveless","– Russia"
90,"FOREIGN LANGUAGE FILM",False,"On Body and Soul","– Hungary"
90,"FOREIGN LANGUAGE FILM",False,"The Square","– Sweden"
90,"DOCUMENTARY (Feature)",False,"Abacus: Small Enough to Jail","– Steve James, Mark Mitten, Julie Goldman"
90,"DOCUMENTARY (Feature)",False,"Faces Places","– Agnès Varda, JR, Rosalie Varda"
90,"DOCUMENTARY (Feature)",True,"Icarus","– Bryan Fogel, Dan Cogan"
90,"DOCUMENTARY (Feature)",False,"Last Men in Aleppo","– Feras Fayyad, Kareem Abeed, Søren Steen Jespersen"
90,"DOCUMENTARY (Feature)",False,"Strong Island","– Yance Ford, Joslyn Barnes"
90,"DOCUMENTARY (Short Subject)",False,"Edith+Eddie","– Laura Checkoway, Thomas Lee Wright"
90,"DOCUMENTARY (Short Subject)",True,"Heaven Is a Traffic Jam on the 405","– Frank Stiefel"
90,"DOCUMENTARY (Short Subject)",False,"Heroin(e)","– Elaine McMillion Sheldon, Kerrin Sheldon"
90,"DOCUMENTARY (Short Subject)",False,"Knife Skills","– Thomas Lennon"
90,"DOCUMENTARY (Short Subject)",False,"Traffic Stop","– Kate Davis, David Heilbroner"
90,"SHORT FILM (Animated)",True,"Dear Basketball","– Glen Keane, Kobe Bryant"
90,"SHORT FILM (Animated)",False,"Garden Party","– Victor Caire, Gabriel Grapperon"
90,"SHORT FILM (Animated)",False,"Lou","– Dave Mullins, Dana Murray"
90,"SHORT FILM (Animated)",False,"Negative Space","– Max Porter, Ru Kuwahata"
90,"SHORT FILM (Animated)",False,"Revolting Rhymes","– Jakob Schuh, Jan Lachauer"
90,"SHORT FILM (Live Action)",False,"DeKalb Elementary","– Reed Van Dyk"
90,"SHORT FILM (Live Action)",False,"The Eleven O’Clock","– Derin Seale, Josh Lawson"
90,"SHORT FILM (Live Action)",False,"My Nephew Emmett","– Kevin Wilson, Jr."
90,"SHORT FILM (Live Action)",True,"The Silent Child","– Chris Overton, Rachel Shenton"
90,"SHORT FILM (Live Action)",False,"Watu Wote / All of Us","– Katja Benrath, Tobias Rosen"
90,"HONORARY AWARD",True,"","To <span class="Winner">Charles Burnett</span>, a resolutely independent and influential film pioneer who has chronicled the lives of black Americans with eloquence and insight."
90,"HONORARY AWARD",True,""," To <span class="Winner">Owen Roizman</span>, whose expansive visual style and technical innovation have advanced the art of cinematography."
90,"HONORARY AWARD",True,""," To <span class="Winner">Donald Sutherland</span> for a lifetime of indelible characters, rendered with unwavering truthfulness."
90,"HONORARY AWARD",True,""," To <span class="Winner">Agnès Varda</span>, whose compassion and curiosity inform a uniquely personal cinema."
90,"HONORARY AWARD",True,""," To Alejandro G. Iñárritu’s <span class="Winner">CARNE y ARENA</span> virtual reality installation, in recognition of a visionary and powerful experience in storytelling."
90,"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)",True,"","To <span class="Winner">John Coyle</span>, <span class="Winner">Brad Hurndell</span>, <span class="Winner">Vikas Sathaye</span> and <span class="Winner">Shane Buckham</span> for the concept, design, engineering and implementation of the Shotover K1 Camera System."
90,"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)",True,""," To <span class="Winner">Jeff Lait</span>, <span class="Winner">Mark Tucker</span>, <span class="Winner">Cristin Barghiel</span> and <span class="Winner">John Lynch</span> for their contributions to the design and architecture of the Houdini visual effects and animation system."
90,"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)",True,""," To <span class="Winner">Bill Spitzak</span> and <span class="Winner">Jonathan Egstad</span> for the visionary design, development and stewardship of the Nuke compositing system."
