Year,Category,Winner,Key,Subkey
90th,BEST PICTURE,True,"Call Me by Your Name"," – Peter Spears, Luca Guadagnino, Emilie Georges, Marco Morabito"
90th,BEST PICTURE,True,"Darkest Hour"," – Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, Douglas Urbanski"
90th,BEST PICTURE,True,"Dunkirk"," – Emma Thomas, Christopher Nolan"
90th,BEST PICTURE,True,"Get Out"," – Sean McKittrick, Jason Blum, Edward H. Hamm Jr., Jordan Peele"
90th,BEST PICTURE,True,"Lady Bird"," – Scott Rudin, Eli Bush, Evelyn O’Neill"
90th,BEST PICTURE,True,"Phantom Thread"," – JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, Daniel Lupi"
90th,BEST PICTURE,True,"The Post"," – Amy Pascal, Steven Spielberg, Kristie Macosko Krieger"
90th,BEST PICTURE,True,"The Shape of Water"," – Guillermo del Toro, J. Miles Dale"
90th,BEST PICTURE,True,"Three Billboards Outside Ebbing, Missouri"," – Graham Broadbent, Pete Czernin, Martin McDonagh"
90th,ANIMATED FEATURE FILM,True,"The Boss Baby"," – Tom McGrath, Ramsey Naito"
90th,ANIMATED FEATURE FILM,True,"The Breadwinner"," – Nora Twomey, Anthony Leo"
90th,ANIMATED FEATURE FILM,True,"Coco"," – Lee Unkrich, Darla K. Anderson"
90th,ANIMATED FEATURE FILM,True,"Ferdinand"," – Carlos Saldanha"
90th,ANIMATED FEATURE FILM,True,"Loving Vincent"," – Dorota Kobiela, Hugh Welchman, Ivan Mactaggart"
90th,DIRECTING,True,"Dunkirk"," – Christopher Nolan"
90th,DIRECTING,True,"Get Out"," – Jordan Peele"
90th,DIRECTING,True,"Lady Bird"," – Greta Gerwig"
90th,DIRECTING,True,"Phantom Thread"," – Paul Thomas Anderson"
90th,DIRECTING,True,"The Shape of Water"," – Guillermo del Toro"
90th,ACTOR IN A LEADING ROLE,True,"Timothée Chalamet – ","Call Me by Your Name"
90th,ACTOR IN A LEADING ROLE,True,"Daniel Day-Lewis – ","Phantom Thread"
90th,ACTOR IN A LEADING ROLE,True,"Daniel Kaluuya – ","Get Out"
90th,ACTOR IN A LEADING ROLE,True,"Gary Oldman – ","Darkest Hour"
90th,ACTOR IN A LEADING ROLE,True,"Denzel Washington – ","Roman J. Israel, Esq."
90th,ACTRESS IN A LEADING ROLE,True,"Sally Hawkins – ","The Shape of Water"
90th,ACTRESS IN A LEADING ROLE,True,"Frances McDormand – ","Three Billboards Outside Ebbing, Missouri"
90th,ACTRESS IN A LEADING ROLE,True,"Margot Robbie – ","I, Tonya"
90th,ACTRESS IN A LEADING ROLE,True,"Saoirse Ronan – ","Lady Bird"
90th,ACTRESS IN A LEADING ROLE,True,"Meryl Streep – ","The Post"
90th,ACTOR IN A SUPPORTING ROLE,True,"Willem Dafoe – ","The Florida Project"
90th,ACTOR IN A SUPPORTING ROLE,True,"Woody Harrelson – ","Three Billboards Outside Ebbing, Missouri"
90th,ACTOR IN A SUPPORTING ROLE,True,"Richard Jenkins – ","The Shape of Water"
90th,ACTOR IN A SUPPORTING ROLE,True,"Christopher Plummer – ","All the Money in the World"
90th,ACTOR IN A SUPPORTING ROLE,True,"Sam Rockwell – ","Three Billboards Outside Ebbing, Missouri"
90th,ACTRESS IN A SUPPORTING ROLE,True,"Mary J. Blige – ","Mudbound"
90th,ACTRESS IN A SUPPORTING ROLE,True,"Allison Janney – ","I, Tonya"
90th,ACTRESS IN A SUPPORTING ROLE,True,"Lesley Manville – ","Phantom Thread"
90th,ACTRESS IN A SUPPORTING ROLE,True,"Laurie Metcalf – ","Lady Bird"
90th,ACTRESS IN A SUPPORTING ROLE,True,"Octavia Spencer – ","The Shape of Water"
90th,WRITING (Adapted Screenplay),True,"Call Me by Your Name"," – James Ivory"
90th,WRITING (Adapted Screenplay),True,"The Disaster Artist"," – Scott Neustadter, Michael H. Weber"
90th,WRITING (Adapted Screenplay),True,"Logan"," – Scott Frank, James Mangold, Michael Green"
90th,WRITING (Adapted Screenplay),True,"Molly’s Game"," – Aaron Sorkin"
90th,WRITING (Adapted Screenplay),True,"Mudbound"," – Virgil Williams, Dee Rees"
90th,WRITING (Original Screenplay),True,"The Big Sick"," – Emily V. Gordon, Kumail Nanjiani"
90th,WRITING (Original Screenplay),True,"Get Out"," – Jordan Peele"
90th,WRITING (Original Screenplay),True,"Lady Bird"," – Greta Gerwig"
90th,WRITING (Original Screenplay),True,"The Shape of Water"," – Guillermo del Toro, Vanessa Taylor"
