Year,Moments
1929,"Best Picture: Wings"
1929,"Wings was the only silent film to win an Academy Award for Best Picture."
1929,"Wings also won the Academy Award for Engineering Effects."
1929,"The event was held a full three months after the winners had already been announced."
1929,"270 people attended the event, mostly Academy members."
1929,"Guests of members were invited to attend at a slight charge of $5 to their hosts."
1929,"Douglas Fairbanks, the president of the Academy, made the official award presentations."
1929,"Twelve awards were presented at the dinner and 20 additional certificates of honorable mention were given to runners-up in each awards category."
1929,"The Academy statuette was designed in 1928 by MGM’s art director, Cedric Gibbons. Sculptor George Stanley was paid $500 to execute the original statue from Gibbons’ design."
1929,"The first year, awards could be for a single achievement, for several achievements, or for the whole body of work during the year."
1929,"Janet Gaynor won Best Actress for her work in three films: 7th Heaven, Street Angel, and Sunrise."
1929,"For the first and only time, the Academy gave awards for both dramatic direction (Frank Borzage for 7th Heaven) and comedy direction (Lewis Milestone for Two Arabian Knights)."
1929,"In 1927, the average cost of a movie ticket was 25 cents."
1929,"In January 1927, the first transatlantic telephone call was made from New York City to London. Transatlantic calls cost $75 per three minutes."
1929,"On May 18, 1927, Grauman’s Chinese Theatre opened, showing Cecil B. DeMille’s The King of Kings."
1929,"On October 8, 1927, the New York Yankees and their Murderers’ Row lineup completed a four-game sweep of the Pittsburgh Pirates to win their second World Series title."
1929,"Special Award-To Charles Chaplin, for acting, writing, directing and producing The Circus."
1929,"Special Award-To Warner Bros., for producing The Jazz Singer, the pioneer outstanding talking picture, which has revolutionized the industry."
1930,"Best Picture: The Broadway Melody"
1930,"Awards were presented in only seven categories."
1930,"No distinction was made in the voting between sound and silent films. All awards went to films with sound."
1930,"The award presentations were made by the new Academy president, William C. de Mille."
1930,"The first radio broadcast from an Academy Awards ceremony (by local L.A. station KNX) took place."
1930,"Frank Lloyd received consideration for his direction of three films, The Divine Lady, Drag and Weary River; he won the Directing award for The Divine Lady."
1930,"Hans Kraly won for writing for The Patriot; his work on The Last of Mrs. Cheyney was also considered by the judges."
1930,"In September 1928, Alexander Fleming discovered penicillin."
