MovieId,AwardTypeId,Name
0,7,22,"The Continental"
1,14,22,"Carioca"
2,15,22,"Love In Bloom"
3,18,22,"Lullaby Of Broadway"
4,10,22,"Cheek To Cheek"
5,27,22,"Lovely To Look At"
6,26,22,"The Way You Look Tonight"
7,28,22,"Did I Remember"
8,23,22,"I've Got You Under My Skin"
9,29,22,"A Melody From The Sky"
10,30,22,"Pennies From Heaven"
11,31,22,"When Did You Leave Heaven"
12,29,22,"Sweet Leilani"
13,38,22,"Remember Me"
14,20,22,"That Old Feeling"
15,39,22,"They Can't Take That Away From Me"
16,40,22,"Whispers In The Dark"
17,40,22,"Thanks For The Memory"
18,41,22,"Always And Always"
19,19,22,"Change Partners"
20,33,22,"The Cowboy And The Lady"
21,42,22,"Dust"
22,43,22,"Jeepers Creepers"
23,13,22,"Merrily We Live"
24,44,22,"A Mist Over The Moon"
25,45,22,"My Own"
26,18,22,"Now It Can Be Told"
27,18,22,"Over The Rainbow"
28,22,22,"Faithful Forever"
29,33,22,"I Poured My Heart Into A Song"
30,10,22,"Wishing"
31,34,22,"When You Wish Upon A Star"
32,25,22,"Down Argentina Way"
33,45,22,"I'd Know You Anywhere"
34,46,22,"It's A Blue World"
35,43,22,"Love Of My Life"
36,47,22,"Only Forever"
37,44,22,"Our Love Affair"
38,30,22,"Waltzing In The Clouds"
39,41,22,"Who Am I?"
40,56,22,"The Last Time I Saw Paris"
41,48,22,"Baby Mine"
42,57,22,"Be Honest With Me"
43,58,22,"Blues In The Night"
44,51,22,"Boogie Woogie Bugle Boy Of Company B"
45,24,22,"Chattanooga Choo Choo"
46,59,22,"Dolores"
47,49,22,"Out Of The Silence"
48,55,22,"Since I Kissed My Baby Goodbye"
49,66,22,"White Christmas"
50,70,22,"Always In My Heart"
51,69,22,"Dearly Beloved"
52,71,22,"How About You?"
53,72,22,"It Seems I Heard That Song Before"
54,73,22,"I've Got A Gal In Kalamazoo"
55,56,22,"Love Is A Song"
56,64,22,"Pennies For Peppino"
57,74,22,"Pig Foot Pete"
58,75,22,"There's A Breeze On Lake Louise"
59,21,22,"You'll Never Know"
60,47,22,"A Change Of Heart"
61,53,22,"Happiness Is A Thing Called Joe"
62,49,22,"My Shining Hour"
63,48,22,"Saludos Amigos"
64,54,22,"Say A Pray'r For The Boys Over There"
65,52,22,"That Old Black Magic"
66,55,22,"They're Either Too Young Or Too Old"
67,51,22,"We Mustn't Say Goodbye"
68,50,22,"You'd Be So Nice To Come Home To"
