Column1,Column2,Column3,Column4,Column5,Column6,,,,
1,Outstanding Picture,0,TRUE,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),7th Heaven,,,,
1,Outstanding Picture,1,FALSE,https://en.wikipedia.org/wiki/William_Fox_(producer),William Fox,,,,
1,Outstanding Picture,2,FALSE,,for,,,,
1,Outstanding Picture,3,FALSE,https://en.wikipedia.org/wiki/Fox_Film_Corporation,Fox Film Corporation,,,,
1,Outstanding Picture,0,TRUE,https://en.wikipedia.org/wiki/The_Racket_(1928_film),The Racket,,,,
1,Outstanding Picture,1,FALSE,https://en.wikipedia.org/wiki/Howard_Hughes,Howard Hughes,,,,
1,Outstanding Picture,2,FALSE,,for,,,,
1,Outstanding Picture,3,FALSE,,The Caddo Company,,,,
1,Best Unique and Artistic Picture,0,TRUE,https://en.wikipedia.org/wiki/Chang_(film),Chang: A Drama of the Wilderness,,,,
1,Best Unique and Artistic Picture,1,FALSE,https://en.wikipedia.org/wiki/Merian_C._Cooper,Merian C. Cooper,,,,
1,Best Unique and Artistic Picture,2,FALSE,,and,,,,
1,Best Unique and Artistic Picture,3,FALSE,https://en.wikipedia.org/wiki/Ernest_B._Schoedsack,Ernest B. Schoedsack,,,,
1,Best Unique and Artistic Picture,4,FALSE,,for,,,,
1,Best Unique and Artistic Picture,5,FALSE,https://en.wikipedia.org/wiki/Paramount_Pictures,Paramount Pictures,,,,
1,Best Unique and Artistic Picture,0,TRUE,https://en.wikipedia.org/wiki/The_Crowd_(1928_film),The Crowd,,,,
1,Best Unique and Artistic Picture,1,FALSE,https://en.wikipedia.org/wiki/Irving_Thalberg,Irving Thalberg,,,,
1,Best Unique and Artistic Picture,2,FALSE,,for,,,,
1,Best Unique and Artistic Picture,3,FALSE,https://en.wikipedia.org/wiki/Metro-Goldwyn-Mayer,MGM,,,,
1,"Best Director, Comedy Picture",0,TRUE,https://en.wikipedia.org/wiki/Ted_Wilde,Ted Wilde,,,,
1,"Best Director, Comedy Picture",1,FALSE,https://en.wikipedia.org/wiki/Speedy_(film),Speedy,,,,
1,"Best Director, Dramatic Picture",0,TRUE,https://en.wikipedia.org/wiki/King_Vidor,King Vidor,,,,
1,"Best Director, Dramatic Picture",1,FALSE,https://en.wikipedia.org/wiki/The_Crowd_(1928_film),The Crowd,,,,
1,"Best Director, Dramatic Picture",0,TRUE,https://en.wikipedia.org/wiki/Herbert_Brenon,Herbert Brenon,,,,
1,"Best Director, Dramatic Picture",1,FALSE,https://en.wikipedia.org/wiki/Sorrell_and_Son_(1927_film),Sorrell and,,,,
1,"Best Director, Dramatic Picture",2,FALSE,https://en.wikipedia.org/wiki/Sorrell_and_Son_(1927_film),Son,,,,
1,Best Actor,0,TRUE,https://en.wikipedia.org/wiki/Richard_Barthelmess,Richard Barthelmess,,,,
1,Best Actor,1,FALSE,https://en.wikipedia.org/wiki/The_Noose_(film),The Noose,,,,
1,Best Actor,2,FALSE,,and,,,,
1,Best Actor,3,FALSE,https://en.wikipedia.org/wiki/The_Patent_Leather_Kid,The Patent Leather Kid,,,,
1,Best Actress,0,TRUE,https://en.wikipedia.org/wiki/Louise_Dresser,Louise Dresser,,,,
1,Best Actress,1,FALSE,https://en.wikipedia.org/wiki/A_Ship_Comes_In,A Ship Comes In,,,,
1,Best Actress,0,TRUE,https://en.wikipedia.org/wiki/Gloria_Swanson,Gloria Swanson,,,,
1,Best Actress,1,FALSE,https://en.wikipedia.org/wiki/Sadie_Thompson,Sadie Thompson,,,,
1,Best Original Story,0,TRUE,https://en.wikipedia.org/wiki/The_Last_Command_(1928_film),The Last Command,,,,
1,Best Original Story,1,FALSE,https://en.wikipedia.org/wiki/Lajos_B%C3%ADr%C3%B3,Lajos Bíró,,,,
1,Best Adaptation,0,TRUE,https://en.wikipedia.org/wiki/Glorious_Betsy,Glorious Betsy,,,,
1,Best Adaptation,1,FALSE,https://en.wikipedia.org/wiki/Anthony_Coldeway,Anthony Coldeway,,,,
1,Best Adaptation,2,FALSE,,based on the play by,,,,
1,Best Adaptation,3,FALSE,https://en.wikipedia.org/wiki/Rida_Johnson_Young,Rida Johnson Young,,,,
1,Best Adaptation,0,TRUE,https://en.wikipedia.org/wiki/The_Jazz_Singer,The Jazz Singer,,,,
1,Best Adaptation,1,FALSE,https://en.wikipedia.org/wiki/Alfred_A._Cohn,Alfred A. Cohn,,,,
1,Best Adaptation,2,FALSE,,based on the story The Day of Atonement" and",,,,
1,Best Adaptation,3,FALSE,,the play,,,,
1,Best Adaptation,4,FALSE,https://en.wikipedia.org/wiki/The_Jazz_Singer_(play),The Jazz Singer,,,,
1,Best Adaptation,5,FALSE,,by,,,,
1,Best Adaptation,6,FALSE,https://en.wikipedia.org/wiki/Samson_Raphaelson,Samson Raphaelson,,,,
1,Best Art Direction,0,TRUE,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),7th Heaven,,,,
1,Best Art Direction,1,FALSE,https://en.wikipedia.org/wiki/Harry_Oliver,Harry Oliver,,,,
1,Best Art Direction,0,TRUE,https://en.wikipedia.org/wiki/Sunrise:_A_Song_of_Two_Humans,Sunrise: A Song of Two Humans,,,,
1,Best Art Direction,1,FALSE,https://en.wikipedia.org/wiki/Rochus_Gliese,Rochus Gliese,,,,
1,Best Cinematography,0,TRUE,https://en.wikipedia.org/wiki/The_Devil_Dancer,The Devil Dancer,,,,
1,Best Cinematography,1,FALSE,https://en.wikipedia.org/wiki/George_Barnes_(cinematographer),George Barnes,,,,
1,Best Cinematography,0,TRUE,https://en.wikipedia.org/wiki/The_Magic_Flame,The Magic Flame,,,,
1,Best Cinematography,1,FALSE,,George Barnes,,,,
1,Best Cinematography,2,FALSE,,George Barnes,,,,
1,Best Cinematography,0,TRUE,https://en.wikipedia.org/wiki/Sadie_Thompson,Sadie Thompson,,,,
1,Best Cinematography,1,FALSE,,George Barnes,,,,
1,Best Cinematography,2,FALSE,,George Barnes,,,,
1,Best Engineering Effects,0,TRUE,,(No specific film),,,,
